Time,GameSelection,Name
8:43 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Cathi
7:31 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Bernard
5:07 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Kyrstin
12:34 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Maible
10:56 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Koralle
1:49 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Rand
5:28 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Barthel
9:42 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Sasha
7:46 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Stephi
11:14 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Marquita
1:13 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Germain
5:01 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Margo
1:51 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Renato
3:48 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Madge
3:33 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Luz
4:54 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Archibold
5:03 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Delores
11:34 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Steve
11:27 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Merl
8:47 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Maire
12:14 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Lizette
12:20 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Gabi
4:06 PM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Drew
9:53 AM,"A Virus Named Tom, Rocket Birds: Hardboiled Chicken, Guacamelee! Gold Edition, The Stanley Parable, Monster Loves You, 2064: Read Only Memories, 7 Grand Steps, ABZU, AI War, Duke Nukem Forever, NBA 2K16, Shadowrun: Hong Kong - Extended Edition, Sid Meier's Civilization V, Stronghold Crusader 2, Orcs Must Die! 2 - Gift Link, Forced - Gift Link, Morphblade, RIVE: Wreck Hack Die Retry, Poly Bridge, Space Run Galaxy",Edithe
